account_id,n_users,n_dogs,dog_rate,has_toxic_admin,sum_uplift,expected_revenue,cost,net_account_value,decision
acct_00000,1,0,0.0,False,0.1632470489427409,8.162352447137044,1.0,7.162352447137044,suppress_too_small
acct_00001,4,1,0.25,False,0.32941811802668153,16.470905901334078,4.0,12.470905901334078,suppress_toxic_users
acct_00002,5,0,0.0,False,0.8936132717653936,44.68066358826968,5.0,39.68066358826968,treat_account
acct_00003,4,1,0.25,False,0.33702807337790686,16.851403668895344,4.0,12.851403668895344,suppress_toxic_users
acct_00005,10,1,0.1,True,1.259950989308295,62.99754946541475,10.0,52.99754946541475,suppress_toxic_admin
acct_00006,3,0,0.0,False,0.5117748880165116,25.58874440082558,3.0,22.58874440082558,treat_account
acct_00007,2,0,0.0,False,0.3233948516568673,16.169742582843366,2.0,14.169742582843366,treat_account
acct_00008,2,0,0.0,False,0.36598464238800443,18.299232119400223,2.0,16.299232119400223,treat_account
acct_00009,1,0,0.0,False,0.1928743308390607,9.643716541953035,1.0,8.643716541953035,suppress_too_small
acct_00010,10,2,0.2,False,1.1689877675323923,58.449388376619616,10.0,48.449388376619616,suppress_toxic_users
acct_00011,2,0,0.0,False,0.3324720042570378,16.62360021285189,2.0,14.62360021285189,treat_account
acct_00012,12,1,0.08333333333333333,False,1.8273401451884062,91.3670072594203,12.0,79.3670072594203,treat_account
acct_00013,7,0,0.0,False,1.1784057826393732,58.92028913196866,7.0,51.92028913196866,treat_account
acct_00014,1,0,0.0,False,0.1705916293388372,8.52958146694186,1.0,7.52958146694186,suppress_too_small
acct_00015,1,0,0.0,False,0.2068330299009218,10.34165149504609,1.0,9.34165149504609,suppress_too_small
acct_00016,5,0,0.0,False,0.8591468693329833,42.957343466649164,5.0,37.957343466649164,treat_account
acct_00017,6,2,0.3333333333333333,False,0.4333822700496823,21.669113502484116,6.0,15.669113502484116,suppress_toxic_users
acct_00018,6,1,0.16666666666666666,False,0.7765462450736405,38.827312253682024,6.0,32.827312253682024,suppress_toxic_users
acct_00019,3,0,0.0,False,0.5652742200781347,28.26371100390673,3.0,25.26371100390673,treat_account
acct_00020,2,0,0.0,False,0.3500331803674091,17.501659018370454,2.0,15.501659018370454,treat_account
