user_id,latent_uplift_group
user_0000001,sure_thing
user_0000002,persuadable
user_0000003,lost_cause
user_0000004,lost_cause
user_0000005,lost_cause
user_0000006,persuadable
user_0000007,sure_thing
user_0000008,lost_cause
user_0000009,lost_cause
user_0000010,lost_cause
user_0000011,lost_cause
user_0000012,sure_thing
user_0000013,lost_cause
user_0000014,lost_cause
user_0000015,sure_thing
user_0000016,persuadable
user_0000017,lost_cause
user_0000018,persuadable
user_0000019,persuadable
user_0000020,persuadable
user_0000021,lost_cause
user_0000022,persuadable
user_0000023,persuadable
user_0000024,lost_cause
user_0000025,lost_cause
user_0000026,sure_thing
user_0000027,lost_cause
user_0000028,sure_thing
user_0000029,lost_cause
user_0000030,lost_cause
user_0000031,lost_cause
user_0000032,sure_thing
user_0000033,lost_cause
user_0000034,lost_cause
user_0000035,sure_thing
user_0000036,lost_cause
user_0000037,persuadable
user_0000038,sure_thing
user_0000039,lost_cause
user_0000040,persuadable
user_0000041,lost_cause
user_0000042,lost_cause
user_0000043,lost_cause
user_0000044,lost_cause
user_0000045,lost_cause
user_0000046,sure_thing
user_0000047,sure_thing
user_0000048,persuadable
user_0000049,lost_cause
user_0000050,persuadable
user_0000051,sure_thing
user_0000052,sure_thing
user_0000053,lost_cause
user_0000054,persuadable
user_0000055,sleeping_dog
user_0000056,sleeping_dog
user_0000057,persuadable
user_0000058,sure_thing
user_0000059,lost_cause
user_0000060,lost_cause
user_0000061,sure_thing
user_0000062,lost_cause
user_0000063,persuadable
user_0000064,lost_cause
user_0000065,lost_cause
user_0000066,lost_cause
user_0000067,lost_cause
user_0000068,persuadable
user_0000069,sure_thing
user_0000070,lost_cause
user_0000071,lost_cause
user_0000072,sure_thing
user_0000073,lost_cause
user_0000074,lost_cause
user_0000075,lost_cause
user_0000076,lost_cause
user_0000077,lost_cause
user_0000078,lost_cause
user_0000079,sure_thing
user_0000080,sure_thing
user_0000081,lost_cause
user_0000082,lost_cause
user_0000083,lost_cause
user_0000084,persuadable
user_0000085,persuadable
user_0000086,persuadable
user_0000087,lost_cause
user_0000088,persuadable
user_0000089,sure_thing
user_0000090,persuadable
user_0000091,lost_cause
user_0000092,lost_cause
user_0000093,persuadable
user_0000094,lost_cause
user_0000095,sure_thing
user_0000096,lost_cause
user_0000097,sleeping_dog
user_0000098,sleeping_dog
user_0000099,sure_thing
user_0000100,sleeping_dog
user_0000101,sure_thing
user_0000102,persuadable
user_0000103,sure_thing
user_0000104,persuadable
user_0000105,persuadable
user_0000106,sure_thing
user_0000107,persuadable
user_0000108,lost_cause
user_0000109,lost_cause
user_0000110,sure_thing
user_0000111,sure_thing
user_0000112,lost_cause
user_0000113,sure_thing
user_0000114,lost_cause
user_0000115,lost_cause
user_0000116,lost_cause
user_0000117,sure_thing
user_0000118,lost_cause
user_0000119,persuadable
user_0000120,lost_cause
user_0000121,sure_thing
user_0000122,sleeping_dog
user_0000123,sure_thing
user_0000124,lost_cause
user_0000125,lost_cause
user_0000126,lost_cause
user_0000127,sure_thing
user_0000128,sleeping_dog
user_0000129,sure_thing
user_0000130,persuadable
user_0000131,lost_cause
user_0000132,persuadable
user_0000133,lost_cause
user_0000134,persuadable
user_0000135,lost_cause
user_0000136,lost_cause
user_0000137,sure_thing
user_0000138,sure_thing
user_0000139,lost_cause
user_0000140,lost_cause
user_0000141,lost_cause
user_0000142,lost_cause
user_0000143,lost_cause
user_0000144,lost_cause
user_0000145,persuadable
user_0000146,persuadable
user_0000147,lost_cause
user_0000148,lost_cause
user_0000149,lost_cause
user_0000150,persuadable
user_0000151,lost_cause
user_0000152,lost_cause
user_0000153,sure_thing
user_0000154,persuadable
user_0000155,lost_cause
user_0000156,persuadable
user_0000157,persuadable
user_0000158,lost_cause
user_0000159,lost_cause
user_0000160,persuadable
user_0000161,lost_cause
user_0000162,lost_cause
user_0000163,sure_thing
user_0000164,lost_cause
user_0000165,persuadable
user_0000166,lost_cause
user_0000167,persuadable
user_0000168,sure_thing
user_0000169,lost_cause
user_0000170,lost_cause
user_0000171,persuadable
user_0000172,lost_cause
user_0000173,lost_cause
user_0000174,sure_thing
user_0000175,sure_thing
user_0000176,sure_thing
user_0000177,lost_cause
user_0000178,persuadable
user_0000179,persuadable
user_0000180,lost_cause
user_0000181,lost_cause
user_0000182,lost_cause
user_0000183,lost_cause
user_0000184,lost_cause
user_0000185,persuadable
user_0000186,lost_cause
user_0000187,lost_cause
user_0000188,lost_cause
user_0000189,persuadable
user_0000190,lost_cause
user_0000191,sure_thing
user_0000192,lost_cause
user_0000193,sure_thing
user_0000194,persuadable
user_0000195,persuadable
user_0000196,sure_thing
user_0000197,lost_cause
user_0000198,lost_cause
user_0000199,lost_cause
user_0000200,sleeping_dog
user_0000201,persuadable
user_0000202,sure_thing
user_0000203,lost_cause
user_0000204,persuadable
user_0000205,lost_cause
user_0000206,sure_thing
user_0000207,lost_cause
user_0000208,lost_cause
user_0000209,lost_cause
user_0000210,lost_cause
user_0000211,sure_thing
user_0000212,lost_cause
user_0000213,persuadable
user_0000214,lost_cause
user_0000215,lost_cause
user_0000216,lost_cause
user_0000217,lost_cause
user_0000218,sure_thing
user_0000219,lost_cause
user_0000220,lost_cause
user_0000221,sure_thing
user_0000222,persuadable
user_0000223,persuadable
user_0000224,persuadable
user_0000225,sure_thing
user_0000226,lost_cause
user_0000227,sure_thing
user_0000228,lost_cause
